"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Côte d’Ivoire",2026,114605401,32503868,32530465,19160188,5290025,5308745,TRUE,"UK-Cote d'Ivoire Stepping Stone EPA",NA,FALSE
1,"Djibouti",2022,174041,0,0,114980,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Djibouti",2024,53615,0,0,19200,0,0,FALSE,NA,"Comprehensive",TRUE
1,"Djibouti",2026,11971,8103,8103,27203,27000,27000,FALSE,NA,"Comprehensive",TRUE
1,"Dominica",2022,74798,0,0,76683,0,0,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominica",2024,25577,0,0,12936,0,0,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominica",2025,1250,0,0,881,0,0,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominica",2026,18073,18073,18073,133,133,133,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominican Republic",2022,7012800,6428051,6709025,8763782,8540791,8646774,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominican Republic",2023,6775495,5693178,6004212,7163775,6679921,6818368,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominican Republic",2024,5472960,4611642,4771453,5619112,5276092,5336634,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominican Republic",2025,5515032,4710854,4833929,6154671,5806403,5851094,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Dominican Republic",2026,6898275,5856313,6008742,7711663,7342005,7359574,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
1,"Ecuador",2022,17523453,16493896,17369757,11075394,10818140,11048829,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Ecuador",2023,21325924,19187316,21039735,10848670,10288677,10734440,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Ecuador",2024,20983065,18732134,20758933,9489250,9059364,9428940,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Ecuador",2025,20988392,19955939,20522153,12483762,12282051,12370439,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Ecuador",2026,22262856,20622475,21477237,9542760,9197908,9391280,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
1,"Egypt",2022,22890456,19978972,22077388,16441272,15216943,15994873,TRUE,"UK-Egypt Association Agreement",NA,FALSE
1,"Egypt",2023,33334720,28953957,31961249,24893218,23272029,24287876,TRUE,"UK-Egypt Association Agreement",NA,FALSE
1,"Egypt",2024,46511501,32102900,44109070,34208051,29633560,33052212,TRUE,"UK-Egypt Association Agreement",NA,FALSE
1,"Egypt",2025,45961302,33864398,44687297,35624360,31930872,34948792,TRUE,"UK-Egypt Association Agreement",NA,FALSE
1,"Egypt",2026,48126378,22843056,23484004,31631016,24270334,24876393,TRUE,"UK-Egypt Association Agreement",NA,FALSE
1,"El Salvador",2022,161889,16391,16391,107678,80000,80000,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"El Salvador",2023,120780,95282,96155,30374,26126,26926,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"El Salvador",2024,74176,0,2655,19908,0,847,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"El Salvador",2025,179802,0,0,34694,0,0,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"El Salvador",2026,290499,0,1130,29840,0,76,TRUE,"UK-Central America Association Agreement",NA,FALSE
1,"Eswatini",2022,236115,236115,236115,201234,201234,201234,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
1,"Eswatini",2023,231923,230393,231923,124011,123651,124011,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
1,"Eswatini",2024,237640,237640,237640,242988,242988,242988,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
1,"Eswatini",2025,229311,187646,229311,221952,220127,221952,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
1,"Eswatini",2026,10446250,10386848,10391809,36095527,36073712,36074755,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
1,"Ethiopia",2022,2874870,816259,1513633,845853,236186,365065,FALSE,NA,"Comprehensive",TRUE
